KA53AC0634,KA53AC0540,KA439840,KA43A0245,KA439841,KA439842,KA53B6963,KA53AC0345,KA51B9664,KA51AJ8298,KA53AC0344,KA51AJ8291,KA51AJ8295,KA51AJ8296,KA53AB4252,KA53AB1810,KA50A5968,KA53AB1811,KA53D5405,KA53AB1808,KA53D5162,KA53D0166,KA53B6965,KA53D8420,KA53D4606,KA53D8419,KA53D5165,KA53D0158,KA07A9086,KA53D2958,KA53D4609,KA53D2719,KA53B6967,KA53B6964,KA07A9089,KA53AB1814,KA53D0162,KA01AC4662,KA53D0155,KA07A9091,KA53D0157,KA07A9134,KA53B0163,KA07A2722,KA51B9235,KA53B1064,KA53D0153,KA53B1072,KA53B0960,KA53B0958,KA53B0952,KA53B1075,KA53B1061
0.0,42.8617,19.866,12.2339,21.323700000000002,19.866,21.323700000000002,10.396700000000001,47.6051,22.79,23.9829,11.2914,11.2914,12.399,21.323700000000002,30.957099999999997,19.8953,11.3026,21.323700000000002,3.489,23.5619,19.3357,27.1815,18.0537,10.0459,28.1833,8.0031,19.079,25.9727,25.9986,19.109900000000003,16.1968,30.229599999999998,27.1815,30.4905,21.485,27.1815,27.1815,27.1815,27.1815,27.1815,27.1815,27.1815,27.1815,27.1815,13.9668,22.8982,43.133900000000004,11.325899999999999,11.325899999999999,19.654700000000002,25.7264,4.536
43.2934,0.0,36.4976,33.059599999999996,25.2427,36.4976,25.2427,42.501,21.8915,41.5439,50.2104,35.2165,35.2165,34.5561,25.2427,39.411,36.526900000000005,35.2053,25.2427,39.9148,53.878800000000005,25.7767,23.9535,46.779300000000006,51.6608,35.3799,41.371900000000004,27.9083,43.124900000000004,43.150800000000004,29.4377,46.5137,21.5281,23.9535,23.2091,26.258,23.9535,23.9535,23.9535,23.9535,23.9535,23.9535,23.9535,23.9535,23.9535,34.8994,41.5466,37.8218,34.889199999999995,34.889199999999995,45.9763,43.6484,41.0971
19.6618,34.938,0.0,16.4823,18.5213,0.0,18.5213,25.1978,41.7127,5.291600000000001,13.661299999999999,9.2495,9.2495,18.2729,18.5213,14.9631,0.0293,9.238299999999999,18.5213,17.045900000000003,24.858,9.770700000000001,20.7802,16.3186,26.4731,28.0785,20.6988,15.5532,9.9787,10.0046,7.2521,17.4928,24.7989,20.7802,24.598,19.5367,20.7802,20.7802,20.7802,20.7802,20.7802,20.7802,20.7802,20.7802,20.7802,19.840700000000002,5.3999,44.2413,17.1998,17.1998,7.3898,9.7324,21.03
11.8604,33.165,16.6553,0.0,10.1405,16.6553,10.1405,15.201600000000001,36.422,18.6028,25.764200000000002,9.8331,9.8331,3.6059,10.1405,28.108900000000002,16.6846,9.8219,10.1405,8.4819,27.4512,9.639,17.4848,20.532,22.504099999999998,17.179,10.9465,7.8958,23.1244,23.1504,9.3715,20.086,19.046400000000002,17.4848,19.307299999999998,10.3019,17.4848,17.4848,17.4848,17.4848,17.4848,17.4848,17.4848,17.4848,17.4848,7.1505,18.7111,33.464800000000004,3.939,3.939,16.8065,22.8782,10.146799999999999
21.4728,24.4306,18.8201,10.483,0.0,18.8201,0.0,18.4805,26.2815,21.6831,33.0357,17.104599999999998,17.104599999999998,11.979299999999999,0.0,31.333,18.849400000000003,17.093400000000003,0.0,18.0942,35.7669,6.4832,8.7286,28.6674,30.9471,12.5897,17.3513,3.8876999999999997,26.3485,26.3744,10.1443,28.401799999999998,8.905899999999999,8.7286,9.166799999999999,2.2375,8.7286,8.7286,8.7286,8.7286,8.7286,8.7286,8.7286,8.7286,8.7286,10.8789,21.791400000000003,28.81,12.3124,12.3124,24.0781,26.1022,18.5202
19.6618,34.938,0.0,16.4823,18.5213,0.0,18.5213,25.1978,41.7127,5.291600000000001,13.661299999999999,9.2495,9.2495,18.2729,18.5213,14.9631,0.0293,9.238299999999999,18.5213,17.045900000000003,24.858,9.770700000000001,20.7802,16.3186,26.4731,28.0785,20.6988,15.5532,9.9787,10.0046,7.2521,17.4928,24.7989,20.7802,24.598,19.5367,20.7802,20.7802,20.7802,20.7802,20.7802,20.7802,20.7802,20.7802,20.7802,19.840700000000002,5.3999,44.2413,17.1998,17.1998,7.3898,9.7324,21.03
21.4728,24.4306,18.8201,10.483,0.0,18.8201,0.0,18.4805,26.2815,21.6831,33.0357,17.104599999999998,17.104599999999998,11.979299999999999,0.0,31.333,18.849400000000003,17.093400000000003,0.0,18.0942,35.7669,6.4832,8.7286,28.6674,30.9471,12.5897,17.3513,3.8876999999999997,26.3485,26.3744,10.1443,28.401799999999998,8.905899999999999,8.7286,9.166799999999999,2.2375,8.7286,8.7286,8.7286,8.7286,8.7286,8.7286,8.7286,8.7286,8.7286,10.8789,21.791400000000003,28.81,12.3124,12.3124,24.0781,26.1022,18.5202
10.4882,42.213800000000006,25.6833,14.4307,17.783099999999997,25.6833,17.783099999999997,0.0,44.0646,28.607200000000002,30.5668,17.1086,17.1086,9.8831,17.783099999999997,36.7744,25.7126,17.1199,17.783099999999997,9.6982,32.6286,20.9187,26.5117,24.139200000000002,19.112599999999997,19.6899,2.8563,15.5384,31.789900000000003,31.8158,20.6512,25.2635,26.689,26.5117,26.949900000000003,17.9445,26.5117,26.5117,26.5117,26.5117,26.5117,26.5117,26.5117,26.5117,26.5117,8.411100000000001,28.7155,34.494099999999996,7.7759,7.7759,25.472,31.5437,7.1814
47.7179,21.9102,42.7846,36.728199999999994,27.467299999999998,42.7846,27.467299999999998,44.725699999999996,0.0,45.6476,57.0002,41.0691,41.0691,38.2244,27.467299999999998,61.8135,42.813900000000004,41.057900000000004,27.467299999999998,44.339400000000005,59.7314,30.4478,25.7721,52.6319,57.513400000000004,25.806099999999997,43.5965,30.132900000000003,50.313,50.3389,34.1088,52.3663,20.0012,25.7721,21.6822,26.0212,25.7721,25.7721,25.7721,25.7721,25.7721,25.7721,25.7721,25.7721,25.7721,37.124,45.755900000000004,19.551,38.5575,38.5575,48.0426,50.0668,44.7653
22.396099999999997,34.810900000000004,6.283600000000001,20.077599999999997,24.6422,6.283600000000001,24.6422,28.8528,47.8336,0.0,10.5605,12.247399999999999,12.247399999999999,21.8682,24.6422,10.415299999999998,6.3129,12.2586,24.6422,19.780099999999997,24.565099999999997,15.8916,27.0126,16.0257,29.009900000000002,35.2409,25.189700000000002,24.436799999999998,4.7889,4.8148,13.373,17.2,30.919700000000002,27.0126,30.7189,25.6575,27.0126,27.0126,27.0126,27.0126,27.0126,27.0126,27.0126,27.0126,27.0126,23.4361,0.1083,52.6031,20.7952,20.7952,4.5681,5.312399999999999,23.7643
