Bus,d_lat,d_lon,institute
KA53D5162,12.855323,77.6726,MAHE
KA53D0166,13.0699912,77.6037099,MAHE
KA53B6965,13.123265,77.592183,MAHE
KA53D8420,12.9248349,77.6494085,MAHE
KA53D4606,12.894084,77.5339296,MAHE
KA53D8419,13.1376759,77.4917919,MAHE
KA53D5165,12.9973183,77.503035,MAHE
KA53D0158,13.0839336,77.5604299,MAHE
KA07A9086,12.996444,77.716609,MAHE
KA53D2958,12.9965416,77.7164014,MAHE
KA53D2719,12.911063,77.626155,MAHE
KA53B6967,13.16007,77.57933,MAHE
KA53B6964,13.123265,77.592183,MAHE
KA07A9089,13.1584223,77.5839711,MAHE
KA53AB1814,13.106341,77.565936,MAHE
